                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6233,                 5.9113,                 1.0709,                0.49165,                0.11651,                 0.2482,                0.09773,                 1.6139,                 3.6015,                 1.1148,             0.00065965,             0.00065965,             0.00065965
                      2,                 1.6074,                 4.2377,                 1.1249,                0.44948,                0.46651,                0.34996,                0.17363,                 1.6187,                 2.3127,                 1.2456,              0.0013001,              0.0013001,              0.0013001
                      3,                 1.5194,                 2.7357,                 1.1068,                0.43681,                0.28679,                0.23904,                0.13186,                 1.7461,                 2.7191,                 1.3628,              0.0019141,              0.0019141,              0.0019141
                      4,                 1.6444,                 2.4358,                 1.1681,                 0.5017,                0.50342,                0.38464,                 0.2133,                 1.4777,                  1.523,                 1.1792,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6567,                 2.2261,                 1.1675,                 0.5126,                0.52386,                0.40177,                0.23599,                 1.3839,                 1.6998,                 1.1307,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.4788,                 1.9246,                 1.0965,                0.51529,                0.53396,                0.40958,                0.21202,                 1.5074,                 1.6159,                 1.1933,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.4797,                 1.8231,                 1.1012,                0.51553,                0.57924,                0.43398,                0.25122,                 1.3803,                 1.4031,                  1.125,               0.001802,               0.001802,               0.001802
                      8,                 1.4397,                 1.8102,                 1.0874,                 0.5193,                  0.532,                0.40235,                0.23611,                 1.3859,                 1.4717,                 1.1387,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.3515,                 1.7227,                 1.0832,                0.52138,                0.52103,                0.40994,                0.24919,                 1.3983,                 1.4361,                 1.1203,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.4255,                 1.8153,                 1.0759,                0.52747,                0.52972,                0.42443,                0.25477,                 1.3526,                 1.6266,                   1.12,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.3159,                 1.7266,                 1.0732,                 0.2446,                0.10519,                0.06618,                 0.0352,                 2.9022,                 4.6116,                 1.7973,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.3073,                 1.7201,                 1.0607,                0.52293,                0.57123,                0.43812,                 0.2691,                 1.2997,                 1.3243,                 1.0844,               0.001604,               0.001604,               0.001604
                     13,                 1.3508,                   1.72,                 1.0867,                0.54031,                0.56981,                0.44355,                0.29032,                 1.2367,                 1.4376,                 1.0826,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2766,                 1.6378,                 1.0456,                0.53733,                0.55932,                0.43404,                0.26918,                 1.3365,                 1.5299,                 1.0923,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.3123,                 1.7107,                 1.0579,                0.54226,                0.59764,                0.44862,                0.27693,                 1.2601,                 1.4715,                 1.0801,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.3481,                 1.7229,                 1.0765,                0.53856,                0.57641,                0.43871,                0.25685,                 1.3465,                 1.5019,                 1.0978,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.2558,                 1.6406,                 1.0544,                0.51185,                0.54481,                0.42132,                0.25722,                 1.2878,                 1.4136,                 1.0815,               0.001406,               0.001406,               0.001406
                     18,                 1.1994,                 1.6309,                 1.0048,                0.50535,                0.60575,                0.44055,                0.27019,                 1.3021,                 1.3546,                 1.0991,              0.0013664,              0.0013664,              0.0013664
